No	TMNo	EnNo	Name	INOUT	Mode	DateTime
1	1	1		0	0	07/20/19 13:26
3	1	1		0	0	07/20/19 14:20
4	1	1		0	0	07/20/19 14:20
5	1	1		0	0	07/20/19 14:20
46	1	1		0	0	09/09/19 7:21
56	1	1		0	0	09/09/19 17:17
58	1	1		0	0	09/09/19 17:18
62	1	1		0	0	09/09/19 19:02
102	1	1		0	0	09/14/19 17:25
135	1	1		0	0	09/19/19 17:24
143	1	1		0	0	09/20/19 17:49
