No	TMNo	EnNo	Name	INOUT	Mode	DateTime
138	1	171		0	0	2019/09/20 06:58:51
139	1	61		0	0	2019/09/20 08:56:07
140	1	156		0	0	2019/09/20 17:14:14
141	1	61		0	0	2019/09/20 17:30:16
142	1	159		0	0	2019/09/20 17:30:44
143	1	1		0	0	2019/09/20 17:49:25
144	1	156		0	0	2019/09/21 06:44:24
145	1	159		0	0	2019/09/21 06:46:50
146	1	171		0	0	2019/09/21 07:02:38
147	1	61		0	0	2019/09/21 09:01:28
148	1	100		0	0	2019/09/21 15:57:29
149	1	156		0	0	2019/09/21 17:18:37
150	1	159		0	0	2019/09/21 17:19:50
151	1	61		0	0	2019/09/21 17:22:59
152	1	159		0	0	2019/09/23 06:29:18
153	1	153		0	0	2019/09/23 07:01:07
154	1	176		0	0	2019/09/23 07:01:56
155	1	156		0	0	2019/09/23 08:20:08
156	1	61		0	0	2019/09/23 09:03:50
157	1	153		0	0	2019/09/23 17:03:57
158	1	61		0	0	2019/09/23 17:17:43
159	1	156		0	0	2019/09/23 17:20:56
160	1	160		0	0	2019/09/23 17:21:40
161	1	176		0	0	2019/09/23 17:28:30
162	1	159		0	0	2019/09/23 19:12:34
163	1	160		0	0	2019/09/24 01:45:26
164	1	159		0	0	2019/09/24 06:28:18
165	1	156		0	0	2019/09/24 06:38:46
166	1	176		0	0	2019/09/24 06:59:13
167	1	153		0	0	2019/09/24 07:03:44
168	1	160		0	0	2019/09/24 07:03:51
169	1	171		0	0	2019/09/24 07:04:23
170	1	61		0	0	2019/09/24 08:54:03
171	1	61		0	0	2019/09/24 17:05:53
172	1	156		0	0	2019/09/24 17:09:36
173	1	171		0	0	2019/09/24 17:19:45
174	1	160		0	0	2019/09/24 17:28:42
175	1	159		0	0	2019/09/24 17:38:56
176	1	153		0	0	2019/09/24 18:00:03
177	1	159		0	0	2019/09/25 06:23:23
178	1	156		0	0	2019/09/25 06:57:34
179	1	171		0	0	2019/09/25 07:01:02
180	1	153		0	0	2019/09/25 07:03:27
181	1	61		0	0	2019/09/25 08:43:56
182	1	61		0	0	2019/09/25 17:03:43
183	1	156		0	0	2019/09/25 17:11:51
184	1	153		0	0	2019/09/25 17:14:22
185	1	171		0	0	2019/09/25 17:17:26
186	1	159		0	0	2019/09/25 17:38:20
187	1	159		0	0	2019/09/26 06:27:15
188	1	156		0	0	2019/09/26 06:51:42
189	1	171		0	0	2019/09/26 07:01:54
190	1	153		0	0	2019/09/26 07:03:13
191	1	175		0	0	2019/09/26 13:25:03
192	1	153		0	0	2019/09/26 17:07:33
193	1	160		0	0	2019/09/26 17:07:41
